name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;618;0;787;3213;1103;3213;1103;0
header;268;148;268;183;1902;183;1902;148
A;778;80;778;84;781;84;781;80
B;780;266;780;284;794;284;794;266
A;849;313;849;317;853;317;853;313
D;721;545;721;562;730;562;730;545
A;995;583;995;586;998;586;998;583
A;1077;642;1077;666;1098;666;1098;642
B;1069;1318;1069;1344;1089;1344;1089;1318
C;1063;1987;1063;2016;1083;2016;1083;1987
A;948;2399;948;2403;953;2403;953;2399
A;924;2549;924;2560;930;2560;930;2549
A;814;2595;814;2606;821;2606;821;2595
D;1064;2658;1064;2685;1087;2685;1087;2658
B;805;2675;805;2693;820;2693;820;2675
